material_id,formula,predicted_bandgap,period,electronegativity,covalent_radius,valence_electrons,ionization_energy,electron_affinity,atomic_volume,bond_length,bond_angle
8534456,Sm4 Lu2 Ir2 O12,2.305,3.6,2.639,95.0,5.2,2.113000000000001,1.0594,12.861078357573575,2.53908843622425,66.6231720683807
8534461,Nd4 Lu2 Ir2 O12,2.159,3.6,2.639,95.0,5.2,2.113000000000001,1.4689999999999996,13.1201609776878,2.5554409995358967,65.09079787927823
8534464,La4 Lu2 Ir2 O12,2.075,3.6,2.639,95.0,5.2,2.113000000000001,1.1709999999999998,13.385732463081506,2.5751090138688797,66.87884445553362
8534482,La4 Dy2 Rh2 O12,1.789,3.5,2.7159999999999997,95.0,5.1,2.109000000000001,1.2449999999999997,13.652002751735619,2.582246491593618,67.54050514909655
8534501,La4 Rh4 O12,0.674,3.4,2.832,90.0,5.8,2.126000000000001,1.3199999999999998,12.541553347583802,2.526445259137275,66.6595912938123
8534519,Ba4 Tb2 Nb2 O12,3.063,3.5,2.6209999999999996,102.5,4.7,2.077000000000001,1.097,15.424389282991447,2.698980583063232,65.71191420610397
8534522,Ba4 Tm2 Nb2 O12,3.094,3.5,2.639,102.5,4.7,2.077000000000001,1.097,14.946776164729636,2.6926339853425865,67.45061023254372
8534528,Pr2 Nb2 Pb4 O12,2.319,3.5,2.756,92.5,5.1,2.1270000000000007,1.1699999999999997,15.270404303950517,2.6524612521541377,66.46629544235127
8534531,Ba4 Dy2 Nb2 O12,3.215,3.5,2.639,102.5,4.7,2.077000000000001,1.0219999999999998,15.331529091174449,2.6987382853324138,65.8127226511201
8534536,Ba4 Er2 Nb2 O12,3.077,3.5,2.639,102.5,4.7,2.077000000000001,0.9812,15.04827908584755,2.692245613440105,65.66555863311356
8534540,Ba4 Ho2 Nb2 O12,3.215,3.5,2.639,102.5,4.7,2.077000000000001,0.9837999999999999,15.129919179884116,2.6902348562375114,65.68926376811176
8534543,Pr2 Eu4 Nb2 O12,3.315,3.5,2.662,97.5,4.7,2.093000000000001,1.1699999999999997,14.132118309762316,2.5815800293468687,67.5970524470715
8534577,Dy4 Ti2 Mn2 O12,1.841,3.2,2.7169999999999996,90.0,5.1,2.126000000000001,0.9719999999999999,11.717111893503034,2.4515666799681624,68.3926139852236
8534580,Er4 Ti2 Mn2 O12,1.837,3.2,2.7169999999999996,90.0,5.1,2.126000000000001,0.8904,11.563919456671169,2.4429895013175402,68.40954890739442
8534588,Tm4 Ti2 Mn2 O12,1.164,3.2,2.7169999999999996,90.0,5.1,2.126000000000001,1.1219999999999999,11.18961674440893,2.4234892409834243,67.40569953246688
8534591,Ca2 Sm4 Ti2 O12,3.392,3.2,2.561,95.0,4.6,2.109000000000001,0.9104000000000001,12.686466811403262,2.5008962468913403,68.22453644593924
8534646,Ba4 Tm2 Ta2 O12,3.628,3.6,2.5999999999999996,102.5,4.7,2.077000000000001,1.023,14.805183066622126,2.684550251042098,65.19412589940782
8534652,Sr4 Tm2 As2 O12,3.889,3.2,2.678,100.0,4.7,2.129000000000001,1.097,12.726924344354448,2.5074226360461127,66.22806773812799
8534658,Sr4 Tm2 Cr2 O12,0.616,3.2,2.639,100.0,4.8,2.109000000000001,1.097,12.818200131068206,2.5089567214213635,65.73191937076824
8534776,Er4 Mn2 Ni2 O12,1.957,3.2,2.795,87.5,5.7,2.126000000000001,1.0393999999999999,10.650330479108682,2.375820524307522,65.24230852148035
8534782,Y4 Mn2 Si2 O12,3.778,2.9,2.756,90.0,5.3,2.126000000000001,0.9730000000000001,10.852945000623997,2.3508809839709555,65.30650091976803
8534785,Y4 Zr2 Mn2 O12,2.75,3.1,2.7169999999999996,92.5,5.3,2.109000000000001,0.898,12.614500899130702,2.52878825037994,69.16286861854891
8534794,Y4 Ni2 Pb2 O12,1.918,3.2,2.795,90.0,5.6,2.126000000000001,1.097,12.36136772282406,2.508242215915341,65.38352638009646
8534797,Y4 Ni2 Pd2 O12,1.711,3.1,2.834,87.5,6.4,2.146000000000001,1.097,11.240618849086355,2.4308965286650195,66.25475273384846
8534863,Nd4 Lu2 Bi2 O12,2.973,3.6,2.5999999999999996,97.5,4.8,2.093000000000001,1.3939999999999997,14.88541507506186,2.667359501109643,66.5050466279937
8534866,La4 Yb2 Ti2 O12,3.128,3.4,2.582,95.0,4.6,2.109000000000001,1.0219999999999998,13.286906444022017,2.5364658528293322,66.70190963139054
8534869,Mg2 Ti2 Tl4 O12,1.17,3.1,2.756,87.5,4.8,2.126000000000001,0.982,11.582795880482012,2.4544984932972715,66.2136270945904
8534872,Ca2 La4 Ti2 O12,3.115,3.2,2.561,95.0,4.6,2.109000000000001,1.0219999999999998,13.388743676634803,2.5399410762123398,66.40081191613184
8534875,Dy4 Mg2 Ti2 O12,3.303,3.1,2.678,92.5,4.6,2.126000000000001,0.982,11.216670100448043,2.424503271774408,68.31334202391447
8534878,Ho4 Mg2 Ti2 O12,3.211,3.1,2.678,92.5,4.6,2.126000000000001,0.9056000000000001,11.138088927726425,2.4196474169341697,65.28020964102532
8534881,Y4 Mg2 Ti2 O12,3.297,2.9,2.678,92.5,4.8,2.126000000000001,0.8340000000000002,11.278157757171476,2.428574168757973,67.24383530191041
8534893,Lu4 Mg2 Ti2 O12,3.135,3.1,2.5999999999999996,92.5,4.8,2.0940000000000007,0.8340000000000002,10.817695941354966,2.400866355405364,66.6519546204558
8534896,Mg2 Sc4 Ti2 O12,3.216,2.7,2.678,87.5,4.8,2.126000000000001,0.8340000000000002,10.292985696195716,2.365320931417784,68.1143094293493
8534902,Mg2 Ti2 B4 O12,2.338,2.3,2.834,72.5,4.8,2.200000000000001,0.8340000000000002,9.285963422247127,2.277904595600627,66.56040335800954
8534926,K4 Li2 Al2 H12,2.893,1.9,1.5919999999999996,80.0,1.2,2.016000000000001,0.7200000000000002,11.242276736309321,2.4416765139086007,67.7296429243498
8534935,Na4 Li2 H12 Rh2,3.266,1.9,1.7469999999999994,70.0,1.8,2.061000000000001,0.7950000000000002,9.070731461919479,2.277141619938294,66.20857315527904
8535036,La4 Tb2 Ir2 O12,1.918,3.6,2.6599999999999997,95.0,5.1,2.129000000000001,1.3199999999999998,13.831023375461228,2.5920228492032686,66.1357695090493
8535049,Ni2 Ge2 Bi4 O12,2.547,3.2,2.912,82.5,6.0,2.160000000000001,1.3199999999999998,11.634648622339766,2.4412698330023255,67.0360012589498
8535052,Zr2 Mn2 Bi4 O12,2.37,3.3,2.795,87.5,5.7,2.1430000000000007,1.0459999999999998,13.440224005671102,2.596222377071053,65.87472660026147
8535065,Ni2 Bi4 Pd2 O12,0.761,3.3,2.912,82.5,6.8,2.1800000000000006,1.2449999999999997,12.000139695539739,2.483385753315924,62.60870518024167
